cve_scenario|num_year|pct_rate
28|28|0.070319566
28|29|0.061479969
28|30|0.068690751
29|1|0.04509729
29|2|0.047229872
29|3|0.047907435
29|4|0.048799244
29|5|0.048281109
29|6|0.053501066
29|7|0.060491129
29|8|0.05309465
29|9|0.04324366
29|10|0.046063587
29|11|0.040057308
29|12|0.046802159
29|13|0.046854339
29|14|0.05455339
29|15|0.057487269
29|16|0.072539853
29|17|0.078364903
29|18|0.073026657
29|19|0.058018989
29|20|0.073768468
29|21|0.068643198
29|22|0.077593477
29|23|0.100214286
29|24|0.120041222
29|25|0.113282435
29|26|0.165255481
29|27|0.157365004
29|28|0.16568407
29|29|0.144752345
29|30|0.138097445
30|1|0.04509729
30|2|0.03054475
30|3|0.04798114
30|4|0.047214522
30|5|0.041755001
30|6|0.05490976
30|7|0.046568897
30|8|0.046442047
30|9|0.042715667
30|10|0.048663042
30|11|0.046534115
30|12|0.056343034
30|13|0.048717317
30|14|0.046574012
30|15|0.039809504
30|16|0.042938286
30|17|0.037655972
30|18|0.037700793
30|19|0.046036995
30|20|0.052228712
30|21|0.056997835
30|22|0.063064103
30|23|0.064228477
30|24|0.066438309
30|25|0.076324289
30|26|0.076645926
30|27|0.06259915
30|28|0.056921756
30|29|0.069805451
30|30|0.05197741
31|1|0.04509729
31|2|0.046570943
31|3|0.048704004
31|4|0.040544845
31|5|0.041099838
31|6|0.038113398
31|7|0.038862409
31|8|0.040209269
31|9|0.037607077
31|10|0.030329548
31|11|0.030109293
31|12|0.030967099
31|13|0.033954434
31|14|0.044333771
31|15|0.040633593
31|16|0.034608363
31|17|0.034907428
31|18|0.041715195
31|19|0.040097082
31|20|0.049165907
31|21|0.039024475
31|22|0.040531584
31|23|0.051493354
31|24|0.048462339
31|25|0.054852244
31|26|0.045716896
31|27|0.053382006
31|28|0.050033658
31|29|0.061298647
31|30|0.060986522
32|1|0.04509729
32|2|0.050574776
32|3|0.048368138
32|4|0.046506494
32|5|0.053254744
32|6|0.04848589
32|7|0.043067988
32|8|0.047776408
32|9|0.041114123
32|10|0.034578865
32|11|0.03189332
32|12|0.025678767
32|13|0.022707464
32|14|0.022215025
32|15|0.030807692
32|16|0.033496909
32|17|0.033140109
32|18|0.036936927
32|19|0.038210193
32|20|0.039792169
32|21|0.035569799
32|22|0.04204489
32|23|0.044886707
32|24|0.038793101
32|25|0.048706052
32|26|0.044096698
32|27|0.045570668
32|28|0.046170981
32|29|0.045284379
32|30|0.031062545
33|1|0.04509729
33|2|0.05800356
33|3|0.047551227
33|4|0.045075822
33|5|0.048355852
33|6|0.062634198
33|7|0.071399922
33|8|0.069484837
33|9|0.075559816
33|10|0.046679386
33|11|0.037792476
33|12|0.028482982
33|13|0.040657056
33|14|0.037213923
33|15|0.042878034
33|16|0.052460551
33|17|0.066464127
33|18|0.063047606
33|19|0.057729972
33|20|0.065820853
33|21|0.06087219
33|22|0.061491302
33|23|0.074758294
33|24|0.076357488
33|25|0.075769319
33|26|0.076195648
33|27|0.064019069
33|28|0.067793622
33|29|0.071391641
33|30|0.060411836
34|1|0.04509729
34|2|0.033831401
34|3|0.035382564
34|4|0.038008456
34|5|0.041555981
34|6|0.045761891
34|7|0.047233966
34|8|0.048621056
34|9|0.059256757
34|10|0.054338776
34|11|0.042110222
34|12|0.044092611
34|13|0.035877146
34|14|0.03689925
34|15|0.039803386
34|16|0.052095364
34|17|0.059462607
34|18|0.059374089
34|19|0.0511878
34|20|0.04456474
34|21|0.045430586
34|22|0.05449383
34|23|0.052030745
34|24|0.052856584
34|25|0.043955693
34|26|0.032207233
34|27|0.037041814
34|28|0.03823261
34|29|0.03713856
34|30|0.044820265
35|1|0.04509729
35|2|0.047579885
35|3|0.039199806
35|4|0.041745815
35|5|0.05498782
35|6|0.062457932
35|7|0.08788029
35|8|0.094932032
35|9|0.09681006
35|10|0.091927817
35|11|0.093233354
35|12|0.090513408
35|13|0.098204442
35|14|0.107333185
35|15|0.093000203
35|16|0.111400893
35|17|0.109222868
35|18|0.09453444
35|19|0.103020862
35|20|0.116109845
35|21|0.090916536
35|22|0.117706728
35|23|0.110878056
35|24|0.114050696
35|25|0.182888986
35|26|0.082895188
35|27|0.058697974
35|28|0.072447684
35|29|0.080321178
35|30|0.083646647
36|1|0.04509729
36|2|0.056577382
36|3|0.06886133
36|4|0.062847593
36|5|0.053834673
36|6|0.059324685
36|7|0.072295457
36|8|0.07500297
36|9|0.089335783
36|10|0.097883792
36|11|0.100526884
36|12|0.113762567
36|13|0.093609795
36|14|0.089921384
36|15|0.093029476
36|16|0.085529563
36|17|0.062603273
36|18|0.051943563
36|19|0.046868664
36|20|0.042494093
36|21|0.045864156
36|22|0.051790748
36|23|0.053999956
36|24|0.067926927
