Date, Open, High, Low, Close, Volume
01/29/14, 300.15, 304.25, 296.30, 299.90, 10704.4
01/28/14, 305.20, 305.20, 294.25, 295.65, 4777.4
01/27/14, 295.70, 306.229, 292.4774, 303.50, 10987.6
01/24/14, 291.15, 298.20, 290.65, 296.5501, 12504
01/23/14, 287.20, 289.45, 285.00, 286.3505, 13212
01/22/14, 285.15, 285.20, 281.15, 284.0501, 9571
01/21/14, 292.10, 292.60, 284.65, 287.15, 6007.2
01/17/14, 290.20, 296.25, 290.20, 295.25, 6662.4
01/16/14, 293.00, 293.20, 290.3001, 290.95, 3281.8
01/15/14, 296.20, 296.20, 291.00, 292.9001, 5224.6
01/14/14, 303.55, 305.00, 296.35, 298.55, 4034
01/13/14, 303.05, 308.00, 298.25, 305.4001, 6057.6
01/10/14, 307.15, 307.15, 299.45, 300.10, 5425
01/09/14, 310.95, 319.00, 310.35, 311.75, 2551
01/08/14, 311.00, 316.00, 308.00, 312.40, 5606.6
01/07/14, 309.70, 313.40, 304.70, 308.50, 5745.6
01/06/14, 314.50, 316.80, 308.25, 312.20, 7247
01/03/14, 323.40, 323.40, 313.595, 316.75, 9529.6
01/02/14, 324.60, 329.95, 320.50, 323.40, 8087
12/31/13, 314.50, 324.10, 314.50, 321.80, 7144.2
12/30/13, 317.35, 320.25, 315.25, 317.45, 4710.6
12/27/13, 320.85, 326.45, 317.75, 319.10, 15310.8
12/26/13, 320.00, 326.30, 313.20, 319.95, 10299
12/24/13, 320.00, 323.30, 319.1501, 321.05, 2271.8
12/23/13, 317.55, 322.80, 316.00, 322.10, 6956.6
12/20/13, 330.10, 330.10, 323.25, 323.55, 6992.2
12/19/13, 323.00, 333.55, 323.00, 330.60, 6633.4
12/18/13, 333.50, 349.30, 316.30, 316.60, 18016.8
12/17/13, 340.40, 340.85, 332.40, 334.00, 3091.2
12/16/13, 341.45, 343.70, 336.90, 339.75, 4405
12/13/13, 338.8505, 344.8495, 330.85, 342.40, 3878.6
12/12/13, 344.20, 349.15, 339.6005, 346.75, 6990.8
12/11/13, 318.775, 341.00, 318.775, 340.10, 12843.6
12/10/13, 314.25, 317.85, 313.10, 317.85, 8676
12/09/13, 320.05, 324.50, 315.3001, 316.425, 5396.2
12/06/13, 319.90, 325.40, 318.3005, 319.95, 5798.4
12/05/13, 331.70, 339.40, 327.00, 328.40, 5114.6
12/04/13, 340.40, 344.20, 324.50, 331.50, 11878.2
12/03/13, 335.00, 339.20, 332.24, 335.10, 5789.4
12/02/13, 332.60, 336.75, 325.85, 334.00, 5148.6
11/29/13, 315.20, 328.60, 300.005, 327.25, 4479.8
11/27/13, 326.55, 328.3995, 318.20, 318.75, 4094.4
11/26/13, 326.00, 329.40, 314.046, 327.55, 6799.6
11/25/13, 318.95, 325.10, 318.50, 324.15, 5137
11/22/13, 316.60, 323.55, 316.60, 319.35, 8001.6
11/21/13, 323.35, 325.15, 314.205, 315.3001, 9932.8
11/20/13, 309.55, 326.00, 303.325, 322.85, 27389.2
11/19/13, 309.75, 315.50, 306.20, 312.55, 5497.4
11/18/13, 296.90, 306.40, 296.60, 305.55, 4517.4
11/15/13, 299.10, 304.25, 298.4505, 299.95, 4874.8
11/14/13, 305.85, 306.70, 296.5501, 303.45, 11515.8
11/13/13, 321.30, 321.70, 310.80, 311.10, 3898.8
11/12/13, 316.36, 323.8875, 314.30, 316.80, 8624
11/11/13, 316.75, 316.75, 306.60, 312.10, 10158.8
11/08/13, 307.85, 325.85, 307.65, 312.85, 18703.2
11/07/13, 290.45, 302.91, 290.45, 301.40, 11282.6
11/06/13, 287.35, 291.30, 282.60, 290.25, 6249.6
11/05/13, 278.55, 290.60, 278.55, 289.50, 10623.2
11/04/13, 274.85, 283.10, 270.61, 275.95, 4443
11/01/13, 282.20, 286.85, 273.95, 277.65, 9214.8
10/31/13, 279.75, 287.25, 274.725, 282.045, 10493.4
10/30/13, 273.45, 280.65, 272.25, 277.35, 10660.2
10/29/13, 268.45, 274.55, 268.25, 270.75, 9305.4
10/28/13, 261.20, 271.95, 260.60, 265.75, 9404.8
10/25/13, 268.75, 269.40, 259.75, 259.75, 6944
10/24/13, 269.20, 273.20, 269.1501, 269.95, 4189.6
10/23/13, 271.40, 275.95, 269.45, 269.75, 9914.4
10/22/13, 276.90, 276.90, 267.85, 271.50, 10684.8
10/21/13, 274.00, 282.85, 273.85, 279.25, 4961
10/18/13, 267.9001, 278.995, 267.9001, 274.65, 8415.4
10/17/13, 285.10, 289.90, 271.75, 273.60, 13257.4
10/16/13, 298.00, 298.00, 285.70, 285.95, 16903.2
10/15/13, 302.68, 305.3001, 297.00, 303.15, 9041.2
10/14/13, 305.10, 308.15, 299.10, 300.00, 5902
10/11/13, 309.10, 313.80, 300.05, 300.10, 7634.6
10/10/13, 325.95, 327.125, 309.80, 310.3001, 17249.4
10/09/13, 331.75, 336.45, 326.35, 335.45, 5931.2
10/08/13, 325.75, 335.95, 322.25, 335.95, 6050
10/07/13, 333.90, 335.75, 321.8105, 325.405, 3036.6
10/04/13, 327.75, 335.00, 322.60, 329.35, 2993.8
10/03/13, 316.15, 332.60, 314.65, 327.75, 17139.6
10/02/13, 317.45, 322.40, 311.50, 312.00, 6516.4
10/01/13, 329.60, 329.60, 303.25, 313.75, 10770.2
09/30/13, 325.15, 331.15, 315.70, 327.85, 11222.8
09/27/13, 317.50, 322.95, 312.60, 318.20, 5976.2
09/26/13, 319.00, 320.00, 313.75, 313.95, 3790.6
09/25/13, 322.05, 326.95, 313.45, 319.75, 5332.2
09/24/13, 316.30, 323.40, 314.95, 322.60, 7747.2
09/23/13, 314.90, 316.40, 305.10, 315.10, 24392.2
09/20/13, 290.60, 310.95, 290.60, 310.55, 12658
09/19/13, 293.35, 295.85, 284.75, 295.00, 5612.8
09/18/13, 328.20, 338.35, 293.35, 293.95, 25009.4
09/17/13, 325.50, 329.25, 319.85, 327.65, 5867.4
09/16/13, 327.90, 329.95, 315.195, 327.20, 19928
09/13/13, 340.85, 342.60, 335.85, 338.00, 11888.4
09/12/13, 331.90, 341.95, 328.45, 340.75, 16647.4
09/11/13, 340.75, 343.10, 334.55, 334.65, 13281.2
09/10/13, 337.75, 348.15, 335.95, 341.60, 16391.8
09/09/13, 358.90, 363.70, 341.15, 341.45, 23529.8
09/06/13, 371.85, 371.85, 354.05, 363.70, 6557.2
09/05/13, 371.9495, 383.15, 371.9495, 382.70, 5463.8
09/04/13, 379.50, 383.25, 366.65, 371.55, 13154.8
09/03/13, 365.85, 388.80, 362.30, 380.20, 18205.6
08/30/13, 360.00, 372.45, 355.35, 370.305, 11649
08/29/13, 366.20, 371.00, 361.70, 361.90, 6851.2
08/28/13, 359.25, 365.60, 356.75, 362.95, 6489.4
08/27/13, 361.55, 361.55, 351.35, 357.90, 18485.4
08/26/13, 348.9495, 354.65, 347.2005, 352.30, 3833
08/23/13, 360.00, 364.00, 348.70, 348.95, 7161.8
08/22/13, 364.00, 372.25, 360.05, 360.30, 12452
08/21/13, 374.00, 379.85, 349.50, 366.35, 16623.4
08/20/13, 381.165, 388.15, 359.35, 364.35, 10962
08/19/13, 377.60, 391.60, 376.60, 391.60, 14643.25
08/16/13, 355.60, 377.48, 352.00, 376.40, 12167.1
08/15/13, 340.80, 353.60, 340.80, 351.00, 9487.4
08/14/13, 331.80, 332.518, 325.60, 331.80, 18209.25
08/13/13, 314.60, 330.60, 314.60, 328.80, 6351.6
08/12/13, 312.00, 319.00, 311.80, 315.80, 5582.25
08/09/13, 319.60, 320.00, 303.20, 308.40, 4979.85
08/08/13, 313.00, 321.60, 312.00, 317.60, 4013
08/07/13, 314.00, 322.60, 314.00, 317.40, 4132.15
08/06/13, 314.60, 316.60, 308.002, 315.00, 5291.1
08/05/13, 310.00, 314.20, 308.00, 311.80, 3741.9
08/02/13, 306.40, 311.48, 303.80, 311.48, 3494.1
08/01/13, 301.60, 309.00, 297.60, 307.00, 8105.75
07/31/13, 291.00, 310.20, 286.40, 302.80, 14628.5
07/30/13, 286.20, 292.00, 279.20, 289.40, 5173.55
07/29/13, 281.20, 288.00, 278.80, 287.198, 9851.8
07/26/13, 283.60, 287.20, 280.00, 280.40, 4817.2
07/25/13, 285.60, 288.40, 280.00, 281.00, 9990.75
07/24/13, 267.60, 288.00, 264.80, 282.80, 10222.35
07/23/13, 264.20, 269.60, 263.80, 267.00, 1725.45
07/22/13, 271.20, 271.20, 265.00, 266.20, 2741.65
07/19/13, 268.60, 272.60, 266.80, 269.80, 13297.3
07/18/13, 271.00, 273.80, 267.60, 268.40, 4651.2
07/17/13, 276.20, 279.40, 240.00, 274.60, 9906.95
07/16/13, 280.40, 280.40, 274.80, 279.20, 12383.5
07/15/13, 281.40, 283.60, 276.20, 278.60, 7210.35
07/12/13, 277.20, 286.00, 276.00, 281.40, 13715.5
07/11/13, 286.40, 287.40, 276.80, 277.80, 27838.55
07/10/13, 299.20, 307.00, 298.00, 300.20, 21123.65
07/09/13, 305.40, 311.00, 296.20, 299.40, 10669.25
07/08/13, 309.60, 313.324, 304.20, 312.20, 9530.5
07/05/13, 310.20, 333.40, 306.60, 313.60, 18431.25
07/03/13, 309.40, 320.00, 307.20, 310.60, 9339.9
07/02/13, 322.40, 322.40, 302.804, 304.00, 17105.85
07/01/13, 307.60, 321.20, 305.00, 319.40, 16623.9
06/28/13, 312.40, 320.98, 307.802, 316.80, 21891.65
06/27/13, 322.40, 323.40, 310.00, 311.20, 18646.25
06/26/13, 336.00, 336.80, 327.20, 329.60, 31540.15
06/25/13, 355.40, 363.80, 339.20, 345.40, 17618.9
06/24/13, 380.00, 387.20, 341.40, 364.40, 20655.25
06/21/13, 368.60, 380.00, 350.50, 358.60, 28338.55
06/20/13, 344.80, 380.00, 340.80, 375.60, 39377.4
06/19/13, 305.60, 335.00, 303.20, 333.80, 18553.55
06/18/13, 309.60, 313.80, 299.60, 305.60, 7891.75
06/17/13, 304.00, 316.00, 301.002, 309.60, 8882.95
06/14/13, 317.40, 320.00, 301.60, 312.20, 24391.95
06/13/13, 352.20, 352.20, 313.40, 316.20, 23252.3
06/12/13, 323.60, 346.80, 323.60, 344.40, 21510.75
