Date, Open, High, Low, Close, Volume
10/06/03, 103.482, 103.99, 103.20, 103.86, 20240801
10/03/03, 103.67, 104.28, 103.08, 103.39, 48818199
10/02/03, 101.93, 102.56, 101.63, 102.45, 44636500
10/01/03, 100.24, 102.18, 100.20, 102.08, 65801797
09/30/03, 100.48, 100.76, 99.25, 99.95, 70775906
09/29/03, 100.30, 100.99, 99.79, 100.93, 36778699
09/26/03, 100.44, 100.66, 99.846, 99.95, 42915898
09/25/03, 101.41, 101.88, 100.20, 100.28, 53169500
09/24/03, 103.118, 103.22, 101.07, 101.11, 41711398
09/23/03, 102.59, 103.29, 102.36, 102.94, 32513000
09/22/03, 102.85, 102.96, 102.03, 102.55, 36700602
09/19/03, 104.27, 104.60, 103.40, 103.67, 34381602
09/18/03, 103.40, 104.70, 103.17, 104.60, 30294199
09/17/03, 103.48, 103.785, 103.05, 103.38, 32071000
09/16/03, 102.232, 103.64, 102.17, 103.58, 37934102
09/15/03, 102.52, 102.63, 101.95, 102.09, 21320100
09/12/03, 101.91, 102.64, 101.35, 102.45, 42437301
09/11/03, 102.10, 102.76, 101.84, 102.26, 38405102
09/10/03, 102.54, 102.80, 101.55, 101.96, 45941398
09/09/03, 103.37, 103.46, 102.68, 103.00, 35072602
09/08/03, 103.04, 103.88, 102.93, 103.68, 32650699
09/05/03, 102.94, 103.549, 102.40, 102.83, 31654500
09/04/03, 103.10, 103.55, 102.76, 103.41, 28397400
09/03/03, 103.03, 103.70, 102.78, 103.36, 44914801
09/02/03, 101.64, 102.88, 101.05, 102.80, 50855699
08/29/03, 100.61, 101.48, 100.48, 101.44, 28721199
08/28/03, 100.40, 101.00, 99.66, 100.76, 27426000
08/27/03, 100.05, 100.36, 99.57, 100.14, 18987600
08/26/03, 99.50, 100.39, 98.83, 100.11, 45072699
08/25/03, 99.71, 100.83, 99.28, 99.93, 23485500
08/22/03, 101.75, 101.818, 99.73, 99.77, 52044500
08/21/03, 101.05, 101.52, 100.40, 100.77, 46541699
08/20/03, 100.29, 100.89, 100.164, 100.45, 23205000
08/19/03, 100.687, 100.94, 100.00, 100.86, 37454500
08/18/03, 99.93, 100.60, 99.74, 100.48, 22881801
08/15/03, 99.36, 99.79, 99.12, 99.62, 12567200
08/14/03, 99.10, 99.75, 98.45, 99.31, 36247398
08/13/03, 99.82, 99.849, 98.53, 99.04, 36155500
08/12/03, 98.71, 99.59, 98.42, 99.55, 43346102
08/11/03, 98.26, 99.04, 97.84, 98.65, 34633699
08/08/03, 98.32, 98.5469, 97.76, 98.28, 27358699
08/07/03, 97.17, 98.07, 96.758, 98.00, 43531000
08/06/03, 96.69, 98.06, 96.423, 96.98, 51179898
08/05/03, 98.411, 98.76, 96.34, 96.42, 61734801
08/04/03, 98.31, 99.00, 97.00, 98.51, 55540602
08/01/03, 99.19, 99.53, 98.24, 98.51, 49324398
07/31/03, 99.98, 100.94, 99.05, 99.39, 54976500
07/30/03, 99.60, 99.79, 98.93, 99.16, 28414900
07/29/03, 100.14, 100.27, 98.68, 99.40, 53475602
07/28/03, 100.37, 100.98, 99.67, 99.86, 34408898
07/25/03, 98.66, 100.29, 98.04, 100.23, 43252898
07/24/03, 99.99, 100.34, 98.37, 98.49, 41172000
07/23/03, 99.21, 99.45, 98.28, 99.24, 37291301
07/22/03, 98.69, 99.41, 97.91, 99.17, 49993000
07/21/03, 99.45, 99.494, 97.85, 98.28, 35090699
07/18/03, 99.02, 99.80, 98.46, 99.51, 35698898
07/17/03, 99.15, 99.88, 98.16, 98.50, 48906398
07/16/03, 100.81, 100.87, 99.23, 99.92, 40186398
07/15/03, 101.38, 101.46, 99.95, 100.51, 42941301
07/14/03, 101.20, 101.90, 99.915, 100.73, 42136801
07/11/03, 99.39, 100.45, 99.39, 100.24, 40075801
07/10/03, 99.84, 100.04, 98.63, 99.30, 49805699
07/09/03, 100.92, 101.40, 100.03, 100.58, 36626199
07/08/03, 100.50, 101.29, 100.17, 101.15, 33158199
07/07/03, 99.653, 100.90, 99.65, 100.70, 31421699
07/03/03, 99.07, 99.85, 97.904, 98.74, 30868400
07/02/03, 98.77, 99.79, 98.57, 99.77, 34677801
07/01/03, 97.253, 98.85, 96.43, 98.53, 51414398
06/30/03, 98.22, 98.67, 97.47, 97.63, 33863699
06/27/03, 98.747, 99.19, 97.58, 97.66, 54209602
06/26/03, 97.78, 98.979, 96.96, 98.80, 33532000
06/25/03, 98.53, 99.44, 97.53, 97.53, 47855898
06/24/03, 98.223, 99.09, 98.02, 98.52, 36219301
06/23/03, 99.45, 99.66, 97.92, 98.42, 34266699
06/20/03, 100.39, 100.50, 99.42, 99.44, 41549000
06/19/03, 101.64, 101.73, 99.84, 100.02, 43557199
06/18/03, 101.29, 102.14, 101.00, 101.57, 35538898
06/17/03, 102.07, 102.179, 101.23, 101.66, 36812398
06/16/03, 99.96, 101.70, 99.80, 101.66, 36334301
06/13/03, 100.61, 100.749, 98.95, 99.56, 48635199
06/12/03, 100.754, 100.90, 99.62, 100.61, 36486102
06/11/03, 99.16, 100.39, 98.71, 100.30, 37613301
06/10/03, 98.46, 99.26, 98.19, 99.25, 30104699
06/09/03, 98.769, 99.10, 97.77, 98.25, 38386602
06/06/03, 100.40, 101.40, 99.13, 99.26, 60389199
06/05/03, 98.584, 99.65, 98.27, 99.65, 46319102
06/04/03, 97.66, 99.35, 97.569, 99.16, 49422500
06/03/03, 97.15, 97.84, 96.85, 97.75, 39550199
06/02/03, 97.53, 98.45, 96.67, 97.35, 50692801
05/30/03, 95.901, 97.09, 95.56, 96.95, 52533602
05/29/03, 95.88, 96.82, 95.08, 95.42, 50961602
05/28/03, 95.85, 96.47, 95.43, 95.67, 37749398
05/27/03, 93.30, 95.84, 93.18, 95.40, 43729199
05/23/03, 93.53, 93.98, 93.14, 93.76, 26157699
05/22/03, 92.95, 94.05, 92.68, 93.57, 38455801
05/21/03, 92.11, 92.88, 91.91, 92.65, 49824102
05/20/03, 92.82, 93.03, 91.597, 92.46, 55440199
05/19/03, 94.15, 94.8905, 92.33, 92.65, 43232602
05/16/03, 94.89, 95.45, 94.26, 94.87, 38905602
05/15/03, 94.89, 95.33, 94.25, 95.11, 43906898
05/14/03, 95.09, 95.24, 93.91, 94.51, 32231699
05/13/03, 94.534, 95.189, 94.26, 94.71, 39290500
05/12/03, 93.50, 95.12, 93.28, 94.88, 35676500
05/09/03, 92.83, 93.80, 92.61, 93.73, 33635699
05/08/03, 92.52, 93.337, 92.28, 92.45, 40597898
05/07/03, 93.42, 94.14, 92.972, 93.39, 41429699
05/06/03, 93.04, 94.38, 93.00, 93.91, 44485102
05/05/03, 93.47, 93.78, 92.50, 93.03, 35445500
05/02/03, 91.56, 93.47, 91.491, 93.21, 50234898
05/01/03, 91.92, 92.731, 90.50, 91.90, 50398898
04/30/03, 91.91, 92.57, 91.41, 91.91, 48912500
04/29/03, 92.14, 92.80, 91.40, 91.79, 52332801
04/28/03, 90.44, 92.19, 90.30, 91.79, 46438699
04/25/03, 91.30, 91.47, 90.02, 90.23, 43919000
04/24/03, 91.53, 92.08, 90.96, 91.36, 50016398
04/23/03, 91.62, 92.35, 91.24, 92.18, 44247000
04/22/03, 89.10, 91.56, 88.89, 91.34, 59845000
04/21/03, 89.86, 90.16, 89.06, 89.65, 32068400
04/17/03, 88.30, 89.72, 88.194, 89.56, 37483398
04/16/03, 89.91, 90.066, 88.03, 88.25, 51806898
04/15/03, 88.84, 89.78, 88.42, 89.78, 49908000
04/14/03, 87.47, 89.00, 87.00, 88.95, 36947500
04/11/03, 88.16, 88.701, 86.86, 87.15, 47729699
04/10/03, 87.095, 87.63, 85.71, 87.51, 42119500
04/09/03, 88.36, 89.10, 86.77, 87.03, 55664898
04/08/03, 88.30, 88.65, 87.71, 88.19, 39725801
04/07/03, 90.34, 90.85, 87.97, 88.05, 69808797
04/04/03, 88.43, 88.59, 87.62, 88.22, 36259898
04/03/03, 88.87, 88.99, 87.65, 87.70, 49006199
04/02/03, 87.54, 88.77, 87.50, 88.12, 50490398
04/01/03, 85.25, 86.39, 84.91, 86.04, 53730500
03/31/03, 85.35, 86.59, 84.40, 84.74, 60779199
03/28/03, 86.47, 87.28, 86.25, 86.71, 32594301
03/27/03, 86.40, 87.66, 85.99, 87.15, 53287801
03/26/03, 87.56, 87.85, 86.80, 87.08, 45749000
03/25/03, 86.74, 88.26, 86.44, 87.52, 61170500
03/24/03, 88.02, 88.14, 86.35, 86.69, 65412602
03/21/03, 88.80, 89.88, 87.93, 89.67, 71263602
03/20/03, 87.33, 88.59, 86.35, 88.15, 67394602
03/19/03, 87.28, 88.16, 86.68, 87.96, 49637898
03/18/03, 87.154, 87.35, 86.28, 87.29, 51064500
03/17/03, 83.46, 86.95, 83.22, 86.78, 88279906
03/14/03, 84.20, 84.77, 83.35, 84.13, 63958898
03/13/03, 82.18, 83.91, 81.53, 83.86, 72147305
03/12/03, 80.38, 81.10, 79.383, 81.06, 62470801
03/11/03, 81.48, 82.00, 80.48, 80.52, 48111801
03/10/03, 82.60, 82.86, 81.10, 81.32, 41024398
03/07/03, 81.61, 83.99, 81.43, 83.32, 63582102
03/06/03, 82.87, 83.52, 82.47, 82.75, 41383199
03/05/03, 82.61, 83.54, 82.36, 83.45, 44102699
03/04/03, 83.95, 84.01, 82.65, 82.75, 31457301
03/03/03, 85.26, 85.78, 83.72, 84.09, 42935102
02/28/03, 84.47, 85.23, 84.16, 84.90, 43888801
02/27/03, 83.70, 84.75, 83.16, 84.34, 51826898
02/26/03, 84.024, 84.53, 83.08, 83.24, 37789301
02/25/03, 82.95, 84.49, 82.22, 84.47, 56890000
02/24/03, 84.93, 85.00, 83.59, 83.80, 30643100
02/21/03, 84.38, 85.74, 83.46, 85.18, 60961500
02/20/03, 85.21, 85.42, 84.05, 84.33, 29292400
02/19/03, 85.32, 85.47, 84.28, 85.18, 31435400
02/18/03, 84.53, 85.80, 84.39, 85.63, 39512898
02/14/03, 82.37, 84.20, 81.829, 84.15, 59588301
02/13/03, 82.15, 82.66, 81.00, 82.35, 58064500
02/12/03, 83.16, 83.62, 82.09, 82.10, 35878301
02/11/03, 84.37, 84.707, 82.834, 83.43, 46460398
02/10/03, 83.466, 84.13, 82.65, 84.01, 45458898
02/07/03, 84.91, 84.99, 82.97, 83.42, 43168199
02/06/03, 84.37, 84.89, 83.65, 84.45, 53651898
02/05/03, 85.754, 86.54, 84.489, 84.85, 55292301
02/04/03, 85.31, 85.75, 84.30, 85.38, 43752699
02/03/03, 86.14, 86.817, 85.92, 86.23, 39795000
01/31/03, 84.15, 86.215, 84.15, 86.06, 55321301
01/30/03, 86.79, 86.88, 84.40, 84.43, 49874398
01/29/03, 85.44, 87.18, 84.77, 86.48, 53765398
01/28/03, 85.63, 86.40, 85.13, 85.83, 46949301
01/27/03, 85.73, 86.80, 84.50, 85.20, 58285699
01/24/03, 88.59, 88.68, 86.17, 86.38, 68700398
01/23/03, 88.75, 89.38, 87.95, 88.71, 56079500
01/22/03, 88.77, 89.80, 88.00, 88.17, 42669398
01/21/03, 90.87, 90.92, 88.95, 89.25, 42365699
01/17/03, 90.99, 92.30, 90.15, 90.66, 35620500
01/16/03, 92.50, 92.93, 91.455, 92.02, 45354500
01/15/03, 93.54, 93.57, 91.91, 92.40, 33540898
01/14/03, 92.69, 93.83, 92.41, 93.33, 30900199
01/13/03, 93.54, 93.86, 92.44, 93.03, 31675500
01/10/03, 91.95, 93.64, 91.80, 93.06, 37770699
01/09/03, 91.821, 93.18, 91.41, 92.81, 34848602
01/08/03, 92.20, 92.40, 91.05, 91.39, 38711398
01/07/03, 92.90, 93.37, 92.20, 92.73, 38651602
01/06/03, 91.24, 93.49, 91.176, 92.96, 40994898
